"app_lang_id","app_id","lang_no","app_lang_order","update_user","update_time"
pEmDs3NkTvSr31LdbhVnnw,mdhV4N11SVqTsb-OLlFJwg,en_US,1,20121100001451,1695801001242
qL6ojsGHQMmNYUwJxzrZ5w,mdhV4N11SVqTsb-OLlFJwg,zh_TW,2,20121100001451,1697163054459
irkVDFYxR-2BQNo_d6bEbg,mdhV4N11SVqTsb-OLlFJwg,vi_VN,3,20121100001451,1697163054459
KWfu3Y9GR16PKhJrjBjx6A,lOzJfbb5RWWnIgIUGgUW3Q,en_US,1,20121100001451,1695716136296
DisORhPxTSKK-6cIaHyCLg,lOzJfbb5RWWnIgIUGgUW3Q,vi_VN,3,20121100001451,1695716136296
"82R2fOXVSn6PSBEIXt_HSw",lOzJfbb5RWWnIgIUGgUW3Q,zh_TW,2,20121100001451,1695716136296
m4R1q7xPRtivvooGhc65hQ,lAKofqtpSOWPvDXTJMkubw,zh_CN,2,20121100001451,1702034881338
GROI9mgVS-yE24sr8J74yg,lAKofqtpSOWPvDXTJMkubw,en_US,1,20121100001451,1702034881338
"0aNbn7HTRkWcwnyczOL-5g",lAKofqtpSOWPvDXTJMkubw,vi_VN,3,20121100001451,1702034881338
"7gMUmbA2SnKwHIVQm0bHvQ",d6Y0JoAvSUu-FWYHD5igCA,en_US,0,20121100001451,1703467337166
