"board_id","board_no","board_name","board_url","board_icon_uri","board_gf_id","board_desc","board_level","leaf_node","board_pid","board_noa","board_ida","board_nma","enabled","update_user","update_time"
eDDADj6dQCSSUrPpKdsesg,WMS,WMS,#,/public/img/portal/WMS.png,,,0,N,-1,/WMS,/eDDADj6dQCSSUrPpKdsesg,/WMS,Y,20121100001451,1696577956245
"7D7d8M7tRWK9V2U2T9zp-g",TLS,TLS,https://pcag-dashboard.pouchen.com/d/e6d0706e-ec85-4015-b971-bb7b1465aa0b/tls-portal?orgId=1,/public/img/portal/TLS.png,e6d0706e-ec85-4015-b971-bb7b1465aa0b,,0,N,-1,/TLS,/7D7d8M7tRWK9V2U2T9zp-g,/TLS,Y,20210300023704,1698711763932
wVl13sCKRGuDHX62poEeDw,MES-SOLE-PYV,VN-01-Sole PYV,https://pcag-dashboard.pouchen.com/d/d146dde4-440a-4d07-ac86-379228234d4f/solemanufacture-pyv-new?orgId=1,/public/img/portal/sole/sole-pp-pyv.png,d146dde4-440a-4d07-ac86-379228234d4f,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-PYV,/ii2MSkBKTIKb6IHtKYmHYQ/wVl13sCKRGuDHX62poEeDw,/Sole Manufacture/VN-01-Sole PYV,Y,20121100001451,1703730163585
BRiYS0BLSsarlu-dLVSL4g,MES-SOLE-PCI,ID-01-Sole PCI,https://pcag-dashboard.pouchen.com/d/a2d75642-df3e-416e-8a95-60af2642c996/solemanufacture-pci-new?orgId=1,/public/img/portal/sole/sole-pp-pci.png,a2d75642-df3e-416e-8a95-60af2642c996,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-PCI,/ii2MSkBKTIKb6IHtKYmHYQ/BRiYS0BLSsarlu-dLVSL4g,/Sole Manufacture/ID-01-Sole PCI,Y,20121100001451,1703730163585
rWDP6vqXS5qDjcuCxCRdbQ,MES-SOLE-PSV,VN-02-Sole PSV,https://pcag-dashboard.pouchen.com/d/ed58581c-ef13-45d2-8681-f12900ad9578/solemanufacture-psv-new?orgId=1,/public/img/portal/sole/sole-pp-psv.png,ed58581c-ef13-45d2-8681-f12900ad9578,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-PSV,/ii2MSkBKTIKb6IHtKYmHYQ/rWDP6vqXS5qDjcuCxCRdbQ,/Sole Manufacture/VN-02-Sole PSV,Y,20121100001451,1703730163585
ii2MSkBKTIKb6IHtKYmHYQ,MES-SOLE,Sole Manufacture,https://pcag-dashboard.pouchen.com/d/c817a445-3426-4b5d-b797-ca2e3a090380/sole-portal?orgId=1,/public/img/portal/Sole-pp.png,c817a445-3426-4b5d-b797-ca2e3a090380,,0,N,-1,/MES-SOLE,/ii2MSkBKTIKb6IHtKYmHYQ,/Sole Manufacture,Y,20121100001451,1703730163585
iJcK5cOPRqqWtqMqUF5peQ,MES-SHOE,Shoe Manufacture,https://pcag-dashboard.pouchen.com/d/e7689777-6660-4eda-b86f-16c0fbd73213/shoe-portal?orgId=1,/public/img/portal/Shoe-pp.png,e7689777-6660-4eda-b86f-16c0fbd73213,"",0,N,-1,/MES-SHOE,/iJcK5cOPRqqWtqMqUF5peQ,/Shoe Manufacture,Y,20121100001451,1703730189607
RqvnnDcaQlKSzXn7WI1eeQ,TLS-A1,A-1 Visualization,https://pcag-dashboard.pouchen.com/d/L2kg00u4z/tls-2-0-a-1?orgId=1,/public/img/portal/tls/A-1.svg,L2kg00u4z,,1,Y,"7D7d8M7tRWK9V2U2T9zp-g",/TLS/TLS-A1,/7D7d8M7tRWK9V2U2T9zp-g/RqvnnDcaQlKSzXn7WI1eeQ,/TLS/A-1 Visualization,Y,20121100001451,1698392231776
DpJmj8cQR9OK7yglGVyisw,TLS-A2,A-2 RFT Pass Trend,https://pcag-dashboard.pouchen.com/d/eqKR_b94k/tls-2-0-a-2?orgId=1,/public/img/portal/tls/A-2.svg,eqKR_b94k,,1,Y,"7D7d8M7tRWK9V2U2T9zp-g",/TLS/TLS-A2,/7D7d8M7tRWK9V2U2T9zp-g/DpJmj8cQR9OK7yglGVyisw,/TLS/A-2 RFT Pass Trend,Y,20121100001451,1698392249476
DanFxrkuQ1W0Ur5ugKexBQ,TLS-A3,A-3 Top 5 Defect,https://pcag-dashboard.pouchen.com/d/YDERuxr4k/tls-2-0-a-3?orgId=1,/public/img/portal/tls/A-3.svg,YDERuxr4k,,1,Y,"7D7d8M7tRWK9V2U2T9zp-g",/TLS/TLS-A3,/7D7d8M7tRWK9V2U2T9zp-g/DanFxrkuQ1W0Ur5ugKexBQ,/TLS/A-3 Top 5 Defect,Y,20210300023704,1698711746955
_OHUsZ-GTbWPu6Am38uyAg,TLS-B2,B-2 Defect Rate,https://pcag-dashboard.pouchen.com/d/Lg8MCoq4k/tls-2-0-b-2?orgId=1,/public/img/portal/tls/B-2.svg,Lg8MCoq4k,,1,Y,"7D7d8M7tRWK9V2U2T9zp-g",/TLS/TLS-B2,/7D7d8M7tRWK9V2U2T9zp-g/_OHUsZ-GTbWPu6Am38uyAg,/TLS/B-2 Defect Rate,Y,20210300023704,1698711763932
s9PgkAWXSAm57oZs0w3KsA,MES-SHOE-PYV,VN-01-Shoe PYV,https://pcag-dashboard.pouchen.com/d/a755ea52-afcd-4df0-b262-319bf32272ea/shoemanufacture-pyv?orgId=1,/public/img/portal/shoe/shoe-pp-pyv.png,b6484fe9-7cd4-4fae-a6e2-8fce1c7f98ba,,1,Y,iJcK5cOPRqqWtqMqUF5peQ,/MES-SHOE/MES-SHOE-PYV,/iJcK5cOPRqqWtqMqUF5peQ/s9PgkAWXSAm57oZs0w3KsA,/Shoe Manufacture/VN-01-Shoe PYV,Y,20121100001451,1703730174048
XuoBmgOtRbmfgbe7tIu3Qg,MES-SHOE-YYJ,CN-01-Shoe YYJ,https://pcag-dashboard.pouchen.com/d/b10c9e3e-d498-42ec-bef5-b5ff7862601e/shoemanufacture-yyj?orgId=1,/public/img/portal/shoe/shoe-pp-yyj.png,b10c9e3e-d498-42ec-bef5-b5ff7862601e,,1,Y,iJcK5cOPRqqWtqMqUF5peQ,/MES-SHOE/MES-SHOE-YYJ,/iJcK5cOPRqqWtqMqUF5peQ/XuoBmgOtRbmfgbe7tIu3Qg,/Shoe Manufacture/CN-01-Shoe YYJ,Y,20121100001451,1703730476185
XKaDBaa4SxWAXAhOZhxYAg,MES-SOLE-PGD,ID-02-Sole PGD,https://pcag-dashboard.pouchen.com/d/ffec9b72-5197-452e-943f-bffd7472bae0/solemanufacture-,/public/img/portal/sole/sole-pp-pgd.png,ffec9b72-5197-452e-943f-bffd7472bae0,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-PGD,/ii2MSkBKTIKb6IHtKYmHYQ/XKaDBaa4SxWAXAhOZhxYAg,/Sole Manufacture/ID-02-Sole PGD,Y,20121100001451,1703735091089
InznG3p5QXGhKUdxdkzxEQ,MES-SOLE-PYS,ID-04-Sole PYS,https://pcag-dashboard.pouchen.com/d/cbe50cae-9934-44bc-a28c-6791df3e76cf/solemanufacture-pys?orgId=1,/public/img/portal/sole/sole-pp-pys.png,cbe50cae-9934-44bc-a28c-6791df3e76cf,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-PYS,/ii2MSkBKTIKb6IHtKYmHYQ/InznG3p5QXGhKUdxdkzxEQ,/Sole Manufacture/ID-04-Sole PYS,Y,20121100001451,1703735120581
C45ua3VBTtamjxo6iJ-S1A,MES-SOLE-PGS,ID-03-Sole PGS,https://pcag-dashboard.pouchen.com/d/ce646bbf-1370-4b87-bcb9-66d7a3fd3b7b/solemanufacture-pgs?orgId=1,/public/img/portal/sole/sole-pp-pgs.png,ce646bbf-1370-4b87-bcb9-66d7a3fd3b7b,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-PGS,/ii2MSkBKTIKb6IHtKYmHYQ/C45ua3VBTtamjxo6iJ-S1A,/Sole Manufacture/ID-03-Sole PGS,Y,20121100001451,1703735140522
ebtroQjmSwG8dy8QANzy0w,MES-SOLE-YYJ,CN-01-Sole YYJ,https://pcag-dashboard.pouchen.com/d/f9fb472d-637b-400a-9bac-efd67970c609/solemanufacture-yyj?orgId=1,/public/img/portal/sole/sole-pp-yyj.png,f9fb472d-637b-400a-9bac-efd67970c609,,1,Y,ii2MSkBKTIKb6IHtKYmHYQ,/MES-SOLE/MES-SOLE-YYJ,/ii2MSkBKTIKb6IHtKYmHYQ/ebtroQjmSwG8dy8QANzy0w,/Sole Manufacture/CN-01-Sole YYJ,Y,20121100001451,1703735158484
