"fact_id","fact_no","fact_name","enabled","update_user","update_time"
cH0hVpouRByBoR53nsozuQ,"5010",PCI,Y,20121100001451,1696555149736
GR09uexsTPCpP6i-kNrf_w,"6210",寶豐PSV-外銷廠,Y,20121100001451,1696572536568
MbHr2peIQNyce46O2iUDew,"6330",平政-PYV化工廠,Y,20121100001451,1696572607205
HrgowOFrTN-GMgBiFqVbgA,"5080",PGD-adidas外銷廠,Y,20121100001451,1696572607205
JKM8GPTlSb2ilZPSZHmNGQ,"6030",平政 PYV-adidas外銷廠,Y,20121100001451,1696572607205
"4k9UALJqSQOsUfPSlPSCKw","2150",安福YYJ-adidas外銷廠,Y,20121100001451,1696572607205
sr2PPqHEQ5qji93TR3rlAw,"2151",安福YYJ-adidas內銷廠,Y,20121100001451,1696572607205
tv6ctJc_RZ-X_h-2Ynquyw,"5000",PGS-adidas外銷廠,Y,20121100001451,1697592270569
IcRloMehTa-tSSWunyG3tg,B160,緬甸PMA-adidas外銷廠,Y,20121100001451,1698368548671
"78vO5doxRRuXE2CRN4ov2Q","2070",YYA-adidas鞋廠,Y,20121100001451,1698392179300
EmjHNwNfSMmJnrTE8ptFQg,"5420",印尼PYS化工廠,Y,20121100001451,1703727270146
mrCWYYiZQj6ApnQPty68OQ,"2260",安福YYJ-化工外銷廠,Y,20121100001451,1703727405053
"2xo90-ysRNOq-3d5NO9ZpQ","2261",安福YYJ-化工內銷廠,Y,20121100001451,1703727414992
