"auth_id","user_id","entre_id","fact_id","enable"
UID007E0015080,UID007,E001,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID022E0025080,UID022,E002,ZENtQ6O_QPGtXkL0Qpz9wA,N
UID022E0035080,UID022,E003,ZENtQ6O_QPGtXkL0Qpz9wA,N
UID022E0045080,UID022,E004,ZENtQ6O_QPGtXkL0Qpz9wA,N
"4",UID015,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"5",UID015,E002,"6330",Y
"6",UID015,E003,"6030",Y
"8",UID016,E002,"6330",Y
"9",UID016,E003,"6030",Y
"10",UID017,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"11",UID017,E002,"6330",Y
"12",UID017,E003,"6030",Y
"1",UID014,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"2",UID014,E002,"6330",Y
"3",UID014,E003,"6030",Y
UTW001E0015010,UID018,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"14",UID018,E002,"6330",Y
UID011E0015000,UID011,E001,EXcOKT3aRE2rAYwD5Q7Zs,Y
UID019E0025010,UID019,E002,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID019E0035010,UID019,E003,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID019E0045010,UID019,E004,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID020E0015010,UID020,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID021E0015010,UID021,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID022E0015080,UID022,E001,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID008E0015080,UID008,E001,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID004E0015000,UID004,E001,EXcOKT3aRE2rAYwD5Q7Zs,N
UID004E0015080,UID004,E001,ZENtQ6O_QPGtXkL0Qpz9wA,N
UID004E0015010,UID004,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"7",UID016,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"28",UID015,E002_1,"6330",Y
"29",UID017,E002_1,"6330",Y
"33",UID016,E002_1,"6330",Y
"26",UID016,E002_2,"2260",Y
"27",UID014,E002_1,"6330",Y
"30",UID014,E002_2,"2260",Y
"31",UID015,E002_2,"2260",Y
"32",UID017,E002_2,"2260",Y
"34",UID023,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"35",UID023,E002,"6330",Y
"36",UID023,E003,"6030",Y
"37",UID023,E002_1,"6330",Y
"38",UID023,E002_2,"2260",Y
"39",UID024,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"40",UID024,E002,"6330",Y
"41",UID024,E003,"6030",Y
"42",UID024,E002_1,"6330",Y
"43",UID024,E002_2,"2260",Y
"47",UID025,E002_1,"6330",Y
"49",UID026,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"50",UID026,E002,"6330",Y
"51",UID026,E003,"6030",Y
"52",UID026,E002_1,"6330",Y
"53",UID026,E002_2,"2260",Y
"44",UID025,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"45",UID025,E002,"6330",Y
"46",UID025,E003,"6030",Y
"48",UID025,E002_2,"2260",Y
"54",UID027,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"55",UID027,E002,"6330",Y
"56",UID027,E003,"6030",Y
"57",UID027,E002_1,"6330",Y
"58",UID027,E002_2,"2260",Y
"59",UID028,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"60",UID028,E002,"6330",Y
"61",UID028,E003,"6030",Y
"62",UID028,E002_1,"6330",Y
"63",UID028,E002_2,"2260",Y
"64",UID019,E002_1,"6330",Y
"65",UID019,E002_2,"2260",Y
"87",UID030,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"67",UID016,E002_3,"6690",Y
"66",UID016,E003_1,"6030",Y
"68",UID014,E003_1,"6030",Y
"69",UID015,E003_1,"6030",Y
"71",UID017,E003_1,"6030",Y
"72",UID019,E003_1,"6030",Y
"73",UID023,E003_1,"6030",Y
"74",UID024,E003_1,"6030",Y
"75",UID025,E003_1,"6030",Y
"76",UID026,E003_1,"6030",Y
"77",UID027,E003_1,"6030",Y
"78",UID028,E003_1,"6030",Y
"79",UID014,E002_3,"6690",Y
"81",UID029,E002,"6330",Y
"82",UID029,E003,"6030",Y
"83",UID029,E002_1,"6330",Y
"84",UID029,E002_2,"2260",Y
"85",UID029,E003_1,"6030",Y
"86",UID029,E002_3,"6690",Y
"80",UID029,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"88",UID030,E002,"6330",Y
"89",UID030,E003,"6030",Y
"90",UID030,E002_1,"6330",Y
"91",UID030,E002_2,"2260",Y
"92",UID030,E003_1,"6030",Y
"93",UID030,E002_3,"6690",Y
"100",UID031,E002_3,"6690",Y
"94",UID031,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
"95",UID031,E002,"6330",Y
"96",UID031,E003,"6030",Y
"97",UID031,E002_1,"6330",Y
"98",UID031,E002_2,"2260",Y
"99",UID031,E003_1,"6030",Y
"101",UID015,E002_3,"6690",Y
"102",UID017,E002_3,"6690",Y
"13",UID018,E002_2,"2260",Y
UTW001E0025010,UID018,E002_1,"6330",Y
"15",UID018,E002_3,"6690",Y
UTW001E0035010,UID018,E003,"6030",Y
UTW001E0045010,UID018,E003_1,"6030",Y
"103",UID023,E002_3,"6690",Y
"104",UID024,E002_3,"6690",Y
"105",UID026,E002_3,"6690",Y
"106",UID025,E002_3,"6690",Y
"107",UID027,E002_3,"6690",Y
"108",UID028,E002_3,"6690",Y
"109",UID019,E002_3,"6690",Y
"110",UID029,E002_3,"6690",Y
"111",UID030,E002_3,"6690",Y
"112",UID031,E002_3,"6690",Y
"113",UID015,E003_1,"6030",Y
"114",UID017,E003_1,"6030",Y
"115",UID023,E003_1,"6030",Y
"116",UID024,E003_1,"6030",Y
"117",UID026,E003_1,"6030",Y
"118",UID025,E003_1,"6030",Y
"119",UID027,E003_1,"6030",Y
"120",UID028,E003_1,"6030",Y
"121",UID019,E003_1,"6030",Y
"122",UID029,E003_1,"6030",Y
"123",UID030,E003_1,"6030",Y
"124",UID031,E003_1,"6030",Y
"660",UID016,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E0025010,UID000,E002,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E0035010,UID000,E003,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E0045010,UID000,E004,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E0015010,UID000,E001,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_15010,UID000,E001_1,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_25010,UID000,E001_2,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_35010,UID000,E001_3,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_45010,UID000,E001_4,UXsOKT3tRE2HHAYBD5H7Lg,Y
UID000E001_15080,UID000,E001_1,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID000E001_25080,UID000,E001_2,ZENtQ6O_QPGtXkL0Qpz9wA,Y
UID000E001_35080,UID000,E001_3,ZENtQ6O_QPGtXkL0Qpz9wA,Y
