"group_id","group_pid","group_no","group_name","group_type","leaf_node","group_level","group_noa","group_ida","group_nma","group_desc","enabled","update_user","update_time"
V0dlfvptRz2Cd1nRbNuYqA,-1,IT-ADMIN,IT 管理人員(Admin),A,Y,0,/IT-ADMIN,/V0dlfvptRz2Cd1nRbNuYqA,/IT 管理人員(Admin),,Y,20121100001451,1698296939909
xZKYDSDRTbCuc5ah0onB_Q,"9sd9S6RdRzSMx16NxDHHFw",PCAG-MM,MM,G,Y,1,/PCAG/PCAG-MM,/9sd9S6RdRzSMx16NxDHHFw/xZKYDSDRTbCuc5ah0onB_Q,/PCAG IT/MM,,Y,20151000004018,1698131392162
ywzssqZLRlKvtOjkZIDfyw,W7-50EqQS9ClI4h5GJjYwQ,PCI-SOLE,PCI SOLE,G,Y,1,/ME/PCI-SOLE,/W7-50EqQS9ClI4h5GJjYwQ/ywzssqZLRlKvtOjkZIDfyw,/ME/PCI SOLE,,Y,20121214989443,1704872515980
AN6i56eORVWZfJvUgv0_sw,"7RomKJCYQyiFtDGsznrMbQ",YYJ QE,YYJ QE,G,Y,1,/QE/YYJ QE,/7RomKJCYQyiFtDGsznrMbQ/AN6i56eORVWZfJvUgv0_sw,/QE/YYJ QE,,Y,20121100348557,1701225158650
urup4P9TSemdbdUPrzNlQg,"7RomKJCYQyiFtDGsznrMbQ",YYA QE,YYA QE,G,Y,1,/QE/YYA QE,/7RomKJCYQyiFtDGsznrMbQ/urup4P9TSemdbdUPrzNlQg,/QE/YYA QE,,Y,20121100348557,1701240145373
OjNMZROxTiCeexix0ZeSew,"7RomKJCYQyiFtDGsznrMbQ",PCI QE,PCI QE,G,Y,1,/QE/PCI QE,/7RomKJCYQyiFtDGsznrMbQ/OjNMZROxTiCeexix0ZeSew,/QE/PCI QE,,Y,20121100348557,1701240176292
Sg7n-TqnQD27TXCGhvP39g,"7RomKJCYQyiFtDGsznrMbQ",PGD QE,PGD QE,G,Y,1,/QE/PGD QE,/7RomKJCYQyiFtDGsznrMbQ/Sg7n-TqnQD27TXCGhvP39g,/QE/PGD QE,,Y,20121100348557,1701240271747
Nk5KgrnxTmu_44brFexL6A,"7RomKJCYQyiFtDGsznrMbQ",PGS QE,PGS QE,G,Y,1,/QE/PGS QE,/7RomKJCYQyiFtDGsznrMbQ/Nk5KgrnxTmu_44brFexL6A,/QE/PGS QE,,Y,20121100348557,1701240290393
"1brI0HQfQKyiPmS-w9EXtg","7RomKJCYQyiFtDGsznrMbQ",PMA QE,PMA QE,G,Y,1,/QE/PMA QE,/7RomKJCYQyiFtDGsznrMbQ/1brI0HQfQKyiPmS-w9EXtg,/QE/PMA QE,,Y,20121100348557,1701240479291
gSNaAkG3QICcTXJfb3ANNg,"7RomKJCYQyiFtDGsznrMbQ",PYV QE,PYV QE,G,Y,1,/QE/PYV QE,/7RomKJCYQyiFtDGsznrMbQ/gSNaAkG3QICcTXJfb3ANNg,/QE/PYV QE,,Y,20121100348557,1701240497068
"7DO79VEYSeO3qBD0pU1Ikw","9sd9S6RdRzSMx16NxDHHFw",PCAG-VN,VN,G,Y,1,/PCAG/PCAG-VN,/9sd9S6RdRzSMx16NxDHHFw/7DO79VEYSeO3qBD0pU1Ikw,/PCAG IT/VN,,Y,20121100007030,1698642257912
"4Gyjk--hT6q-n184_ZFUkw",W7-50EqQS9ClI4h5GJjYwQ,PSV-SOLE,PSV SOLE,G,Y,1,/ME/PSV-SOLE,/W7-50EqQS9ClI4h5GJjYwQ/4Gyjk--hT6q-n184_ZFUkw,/ME/PSV SOLE,,Y,20121214989443,1704872562454
"9sd9S6RdRzSMx16NxDHHFw",-1,PCAG,PCAG IT,G,N,0,/PCAG,/9sd9S6RdRzSMx16NxDHHFw,/PCAG IT,PCAG 一線 IT 管理,Y,20121100001451,1705018190062
IS4_dVquTii0znALKXKStg,W7-50EqQS9ClI4h5GJjYwQ,YYJ-SOLE,YYJ SOLE,G,Y,1,/ME/YYJ-SOLE,/W7-50EqQS9ClI4h5GJjYwQ/IS4_dVquTii0znALKXKStg,/ME/YYJ SOLE,,Y,20121214989443,1705303750769
JGxRhOQET-GBqokTlTUd2w,W7-50EqQS9ClI4h5GJjYwQ,YYJ-SHOE,YYJ SHOE,G,Y,1,/ME/YYJ-SHOE,/W7-50EqQS9ClI4h5GJjYwQ/JGxRhOQET-GBqokTlTUd2w,/ME/YYJ SHOE,,Y,20121214989443,1705303891126
JL2OVvSaQ7qjknocv-Rfwg,W7-50EqQS9ClI4h5GJjYwQ,PYS-SOLE,PYS-SOLE,G,Y,1,/ME/PYS-SOLE,/W7-50EqQS9ClI4h5GJjYwQ/JL2OVvSaQ7qjknocv-Rfwg,/ME/PYS-SOLE,,Y,20121214989443,1705368988838
